,id,Name,Calories,Protein_(g),Carbs_(g),Fiber_(g),Sugar_(g),Calcium_(mg),Sodium_(mg),Saturated_Fat_(g),Mono_Fat_(g)
20,1021,"CHEESE,GJETOST",466,9.65,42.65,0.0,,400.0,600.0,19.16,7.879
138,1156,"CHEESE,GOAT,HARD TYPE",452,30.52,2.17,0.0,2.17,895.0,423.0,24.609,8.117
8708,43340,"CHEESE,PARMESAN,LO NA",451,41.6,3.7,0.0,0.85,800.0,63.0,19.051,8.721
31,1032,"CHEESE,PARMESAN,GRATED",420,28.42,13.91,0.0,0.07,853.0,1804.0,15.371,7.13
132,1146,"CHEESE,PARMESAN,SHREDDED",415,37.86,3.41,0.0,0.9,1253.0,1696.0,17.37,8.734
22,1023,"CHEESE,GRUYERE",413,29.81,0.36,0.0,0.36,1011.0,714.0,18.913,10.043
224,1270,"CHEESE,CHEDDAR,SHARP,SLICED",410,24.25,2.13,0.0,0.27,711.0,644.0,19.368,8.428
8,1009,"CHEESE,CHEDDAR",404,22.87,3.09,0.0,0.48,710.0,653.0,18.867,9.246
148,1169,"CHEESE,LOW-SODIUM,CHEDDAR OR COLBY",398,24.35,1.91,0.0,0.49,703.0,21.0,20.768,9.189
10,1011,"CHEESE,COLBY",394,23.76,2.57,0.0,0.52,685.0,604.0,20.218,9.28
39,1040,"CHEESE,SWISS",393,26.96,1.44,0.0,0.0,890.0,187.0,18.227,8.046
32,1033,"CHEESE,PARMESAN,HARD",392,35.75,3.22,0.0,0.8,1184.0,1376.0,16.41,7.515
19,1020,"CHEESE,FONTINA",389,25.6,1.55,0.0,1.55,550.0,800.0,19.196,8.687
9,1010,"CHEESE,CHESHIRE",387,23.37,4.78,0.0,,643.0,700.0,19.475,8.671
37,1038,"CHEESE,ROMANO",387,31.8,3.63,0.0,0.73,1064.0,1433.0,17.115,7.838
8730,43398,"CHEESE,PAST PROCESS,CHEDDAR OR AMERICAN,LO NA",376,22.2,1.6,0.0,0.45,616.0,7.0,19.651,8.932
7,1008,"CHEESE,CARAWAY",376,25.18,3.06,0.0,,673.0,690.0,18.584,8.275
42,1043,"CHEESE,PAST PROCESS,PIMENTO",375,22.13,1.73,0.1,0.62,614.0,915.0,19.663,8.937
8733,43405,"CHEESE,SWISS,LOW SODIUM",374,28.4,3.4,0.0,1.31,961.0,14.0,17.744,7.256
146,1167,"CHEESE,MEXICAN,QUESO CHIHUAHUA",374,21.56,5.56,0.0,5.56,651.0,617.0,18.843,8.443
144,1165,"CHEESE,MEXICAN,QUESO ANEJO",373,21.44,4.63,0.0,4.63,680.0,1131.0,19.033,8.528
24,1025,"CHEESE,MONTEREY",373,24.48,0.68,0.0,0.5,746.0,600.0,19.066,8.751
4,1005,"CHEESE,BRICK",371,23.24,2.79,0.0,0.51,674.0,560.0,18.764,8.598
212,1253,"CHEESE,PAST PROCESS,AMERICAN,WO/ ADDED VITAMIN D",371,18.13,3.7,0.0,2.26,1045.0,1671.0,18.057,8.236
38,1039,"CHEESE,ROQUEFORT",369,21.54,2.0,0.0,,662.0,1809.0,19.263,8.474
29,1030,"CHEESE,MUENSTER",368,23.41,1.12,0.0,1.12,717.0,628.0,19.113,8.711
223,1267,"CHEESE,MEXICAN,QUESO COTIJA",366,20.0,3.97,0.0,0.0,800.0,1400.0,17.5,8.333
41,1042,"CHEESE,PAST PROCESS,AMERICAN,FORT W/ VITAMIN D",366,18.13,4.78,0.0,2.26,1045.0,1671.0,18.057,8.236
139,1157,"CHEESE,GOAT,SEMISOFT TYPE",364,21.58,0.12,0.0,0.12,298.0,415.0,20.639,6.808
210,1251,"CHEESE,MEXICAN BLEND",358,23.54,1.75,0.0,1.23,659.0,338.0,17.027,7.871
17,1018,"CHEESE,EDAM",357,24.99,1.43,0.0,1.43,731.0,812.0,17.572,8.125
21,1022,"CHEESE,GOUDA",356,24.94,2.22,0.0,2.22,700.0,819.0,17.614,7.747
145,1166,"CHEESE,MEXICAN,QUESO ASADERO",356,22.6,2.87,0.0,2.87,661.0,705.0,17.939,8.038
3,1004,"CHEESE,BLUE",353,21.4,2.34,0.0,0.5,528.0,1146.0,18.669,7.778
33,1034,"CHEESE,PORT DE SALUT",352,23.78,0.57,0.0,0.57,650.0,534.0,16.691,9.338
34,1035,"CHEESE,PROVOLONE",351,25.58,2.14,0.0,0.56,756.0,876.0,17.078,7.393
16,1017,"CHEESE,CREAM",350,6.15,5.52,0.0,3.76,97.0,314.0,20.213,8.907
40,1041,"CHEESE,TILSIT",340,24.41,1.88,0.0,,700.0,753.0,16.775,7.136
43,1044,"CHEESE,PAST PROCESS,SWISS",334,24.73,2.1,0.0,1.23,772.0,1370.0,16.045,7.046
5,1006,"CHEESE,BRIE",334,20.75,0.45,0.0,0.45,184.0,629.0,17.41,8.013
23,1024,"CHEESE,LIMBURGER",327,20.05,0.49,0.0,0.49,497.0,800.0,16.746,8.606
194,1227,"CHEESE,DRY WHITE,QUESO SECO",325,24.51,2.04,,0.55,661.0,1808.0,13.718,6.418
26,1027,"CHEESE,MOZZARELLA,WHL MILK,LO MOIST",318,21.6,2.47,0.0,1.01,575.0,710.0,15.561,7.027
8583,42155,"CHEESE,MONTEREY,LOW FAT",313,28.2,0.7,0.0,0.56,705.0,781.0,14.04,5.64
196,1229,"CHEESE,WHITE,QUESO BLANCO",310,20.38,2.53,,1.76,690.0,704.0,13.661,6.459
218,1260,"CHEESE,CHEDDAR,RED FAT",309,27.35,4.06,0.0,0.26,761.0,628.0,12.602,5.304
225,1271,"CHEESE,MOZZARELLA,LO MOIST,PART-SKIM,SHREDDED",304,23.63,8.06,0.0,2.24,716.0,682.0,11.472,5.104
25,1026,"CHEESE,MOZZARELLA,WHL MILK",300,22.17,2.19,0.0,1.03,505.0,627.0,13.152,6.573
6,1007,"CHEESE,CAMEMBERT",300,19.8,0.46,0.0,0.46,388.0,842.0,15.259,7.023
195,1228,"CHEESE,FRSH,QUESO FRESCO",299,18.09,2.98,0.0,2.32,566.0,751.0,12.94,5.966
28,1029,"CHEESE,MOZZARELLA,LO MOIST,PART-SKIM",295,23.75,5.58,0.0,1.9,697.0,666.0,11.295,5.741
177,1209,"CHEESE,MEXICAN,BLEND,RED FAT",282,24.69,3.41,0.0,0.56,1146.0,776.0,11.58,5.02
8769,43597,"CHEESE,MOZZARELLA,LO NA",280,27.5,3.1,0.0,1.23,731.0,16.0,10.867,4.844
176,1208,"CHEESE,PROVOLONE,RED FAT",274,24.7,3.5,0.0,0.55,756.0,615.0,11.3,4.89
8631,42303,"CHEESE,MUENSTER,LOW FAT",271,24.7,3.5,0.0,3.5,529.0,600.0,10.95,5.09
173,1204,"CHEESE,PARMESAN,DRY GRATED,RED FAT",265,20.0,1.37,0.0,0.0,1109.0,1529.0,13.317,6.098
140,1159,"CHEESE,GOAT,SOFT TYPE",264,18.52,0.0,0.0,0.0,140.0,459.0,14.575,4.807
18,1019,"CHEESE,FETA",264,14.21,4.09,0.0,4.09,493.0,917.0,14.946,4.623
27,1028,"CHEESE,MOZZARELLA,PART SKIM MILK",254,24.26,2.77,0.0,1.13,782.0,619.0,10.114,4.51
30,1031,"CHEESE,NEUFCHATEL",253,9.15,3.59,0.0,3.19,117.0,334.0,12.79,5.784
8694,43278,"CHEESE,AMERICAN CHEDDAR,IMITN",239,16.7,11.6,0.0,7.74,562.0,1345.0,8.79,4.102
8691,43274,"CHEESE,CREAM,LOW FAT",201,7.85,8.13,0.0,5.82,148.0,359.0,9.098,3.996
8692,43275,"CHEESE,PAST PROCESS,AMERICAN,LOFAT",180,24.6,3.5,0.0,0.59,684.0,1789.0,4.41,2.005
8767,43589,"CHEESE,SWISS,LOW FAT",179,28.4,3.4,0.0,1.33,961.0,199.0,3.304,1.351
35,1036,"CHEESE,RICOTTA,WHOLE MILK",174,11.26,3.04,0.0,0.27,207.0,84.0,8.295,3.627
147,1168,"CHEESE,LOFAT,CHEDDAR OR COLBY",173,24.35,1.91,0.0,0.52,415.0,873.0,4.342,2.082
8721,43379,"CHEESE,PAST PROCESS,SWISS,LOFAT",165,25.5,4.3,0.0,1.35,684.0,1430.0,3.303,1.351
221,1265,"CHEESE,CHEDDAR,NONFAT OR FAT FREE",157,32.14,7.14,0.0,0.0,893.0,1000.0,0.0,0.0
8602,42205,"CHEESE,PAST PROCESS,CHEDDAR OR AMERICAN,FAT-FREE",148,22.5,13.4,0.0,9.95,689.0,1528.0,0.504,0.229
8632,42304,"CHEESE,MOZZARELLA,NON-FAT",141,31.7,3.5,1.8,1.48,961.0,743.0,0.0,0.0
36,1037,"CHEESE,RICOTTA,PART SKIM MILK",138,11.39,5.14,0.0,0.31,272.0,99.0,4.927,2.314
222,1266,"CHEESE,SWISS,NONFAT OR FAT FREE",127,28.4,3.4,0.0,1.33,961.0,1000.0,0.0,0.0
59,1061,"CHEESE,AMERICAN,NONFAT OR FAT FREE",126,21.05,10.53,0.0,5.26,789.0,1316.0,0.0,0.0
160,1186,"CHEESE,CREAM,FAT FREE",105,15.69,7.66,0.0,5.48,351.0,702.0,0.644,0.25
11,1012,"CHEESE,COTTAGE,CRMD,LRG OR SML CURD",98,11.12,3.38,0.0,2.67,83.0,364.0,1.718,0.778
12,1013,"CHEESE,COTTAGE,CRMD,W/FRUIT",97,10.69,4.61,0.2,2.38,53.0,344.0,2.311,1.036
8690,43273,"CHEESE,COTTAGE,W/VEG",95,10.9,3.0,0.1,0.37,56.0,403.0,2.646,1.189
14,1015,"CHEESE,COTTAGE,LOWFAT,2% MILKFAT",81,10.45,4.76,0.0,4.0,111.0,308.0,1.235,0.516
8606,42235,"CHEESE,COTTAGE,LOWFAT,1% MILKFAT,LACTOSE RED",74,12.4,3.2,0.6,2.6,53.0,220.0,0.64,0.29
13,1014,"CHEESE,COTTAGE,NONFAT,UNCRMD,DRY,LRG OR SML CURD",72,10.34,6.66,0.0,1.85,86.0,372.0,0.169,0.079
8712,43352,"CHEESE,COTTAGE,LOWFAT,1% MILKFAT,NO NA",72,12.4,2.7,0.0,2.7,61.0,13.0,0.632,0.284
15,1016,"CHEESE,COTTAGE,LOWFAT,1% MILKFAT",72,12.39,2.72,0.0,2.72,61.0,406.0,0.645,0.291
8729,43396,"CHEESE,COTTAGE,LOWFAT,1% MILKFAT,W/VEG",67,10.9,3.0,0.0,3.0,56.0,403.0,0.619,0.282
